,ANN,BAYESIAN,SDG
,"0,104","-0,200","0,196"
,"0,148","0,197","0,186"
,"0,188","0,200","0,187"
,"0,180","0,199","0,187"
,"0,184","0,197","0,186"
,"0,197","0,195","0,185"
,"0,201","0,198","0,181"
,"0,197","0,198","0,184"
,"0,225","0,190","0,175"
,"0,109","0,188","0,163"
,"0,219","0,187","0,169"
,"0,199","0,186","0,152"
,"0,211","0,182","0,176"
,"0,227","0,188","0,170"
,"0,211","0,184","0,171"
,"0,186","0,182","0,175"
,"0,198","0,180","0,175"
,"0,218","0,179","0,165"
,"0,180","0,180","0,171"
,"0,151","0,182","0,169"
,"0,145","0,181","0,147"
,"0,189","0,175","0,168"
,"0,153","0,177","0,163"
,"0,221","0,176","0,175"
,"0,093","0,178","0,159"
,"0,178","0,178","0,161"
,"0,190","0,173","0,146"
,"0,218","0,172","0,153"
,"0,222","0,172","0,160"
,"0,202","0,168","0,164"
,"0,201","0,174","0,149"
,"0,112","0,170","0,159"
,"0,187","0,161","0,165"
,"0,187","0,156","0,137"
,"0,167","0,152","0,147"
,"0,188","0,142","0,146"
,"0,180","0,121","0,154"
,"0,180","0,112","0,156"
,"0,191","0,103","0,140"
,"0,146","0,108","0,148"
,"0,170","0,114","0,150"
,"0,178","0,025","0,144"
,"0,166","0,030","0,142"
,"0,186","0,105","0,111"
,"0,186","0,102","0,090"
,"0,183","0,089","0,106"
,"0,187","0,158","0,129"
,"0,171","0,158","0,104"
,"0,183","0,163","0,107"
,"0,169","0,149","0,066"
,"0,177","0,167","0,106"
,"0,177","0,166","0,118"
,"0,173","0,149","0,125"
,"0,178","0,151","0,149"
,"0,154","0,104","0,015"
,"0,181","0,008","0,130"
,"0,161","0,139","0,089"
,"0,169","0,131","0,079"
,"0,165","0,135","0,053"
,"0,173","0,139","0,073"
,"0,168","0,130","0,039"
,"0,168","0,146","-0,083"
,"0,168","0,141","-0,132"
,"0,168","0,146","-0,097"
,"0,148","0,148","-0,072"
,"0,156","0,141","-0,048"
,"0,152","0,132","0,074"
,"0,164","0,137","0,059"
,"0,172","0,126","0,054"
,"0,156","0,120","0,040"
,"0,162","0,131","0,033"
,"0,166","0,123","0,103"
,"0,166","0,129","0,084"
,"0,166","0,122","0,088"
,"0,166","0,124","0,106"
,"0,159","0,133","0,103"
,"0,141","0,132","0,108"
,"0,137","0,140","0,110"
,"0,132","0,138","0,101"
,"0,122","0,140","0,103"
,"0,105","0,130","0,089"
,"0,101","0,109","0,080"
,"0,125","0,120","0,049"
,"0,150","0,127","0,080"
,"0,062","0,127","0,043"
,"0,136","0,125","0,064"
,"0,114","0,103","0,067"
,"0,109","0,117","0,056"
,"0,117","0,110","0,040"
,"0,077","0,120","0,050"
,"0,117","0,113","0,057"
,"0,105","0,089","0,065"
,"0,121","0,085","0,057"
,"0,113","0,061","0,063"
,"0,099","0,086","0,055"
,"0,119","0,084","0,065"
,"0,090","0,053","0,061"
,"0,074","0,005","0,062"
,"0,113","0,040","0,059"
,"0,085","0,033","0,053"
,"0,102","0,034","0,069"
,"0,102","0,009","0,040"
,"0,122","0,014","0,032"
,"0,090","0,000","0,037"
,"0,104","0,010","0,055"
,"0,097","0,016","0,032"
,"0,091","0,002","0,040"
,"0,079","0,002","0,038"
,"0,095","-0,005","0,035"
,"0,091","-0,005","0,007"
,"0,073","-0,011","0,006"
,"0,076","-0,015","0,022"
,"0,059","-0,043","0,026"
,"0,100","-0,015","0,029"
,"0,096","-0,028","0,012"
,"0,067","-0,029","0,003"
,"0,082","-0,035","0,012"
,"0,065","-0,043","0,014"
,"0,065","-0,071","0,011"
,"0,089","-0,072","0,000"
,"0,073","-0,049","-0,008"
,"0,052","-0,055","-0,020"
,"0,030","-0,157","-0,013"
,"0,006","-0,064","-0,015"
,"0,037","-0,071","-0,023"
,"0,036","-0,081","-0,014"
,"0,023","-0,085","-0,010"
,"0,023","-0,073","-0,018"
,"0,078","-0,082","-0,017"
,"0,033","-0,101","-0,009"
,"0,003","-0,085","-0,024"
,"0,047","-0,094","-0,021"
,"0,055","-0,094","-0,042"
,"0,033","-0,100","-0,043"
,"-0,008","-0,108","-0,046"
,"-0,019","-0,095","-0,062"
,"-0,015","-0,097","-0,074"
,"-0,005","-0,097","-0,078"
,"-0,017","-0,129","-0,073"
,"-0,001","-0,120","-0,075"
,"-0,047","-0,113","-0,067"
,"-0,039","-0,130","-0,082"
,"-0,023","-0,126","-0,152"
,"0,004","-0,121","-0,034"
,"0,004","-0,126","-0,058"
,"0,001","-0,130","-0,043"
,"-0,016","-0,123","-0,046"
,"-0,036","-0,143","-0,078"
,"-0,082","-0,138","-0,056"
,"-0,058","-0,128","-0,071"
,"-0,053","-0,135","-0,074"
,"-0,053","-0,129","-0,073"
,"-0,069","-0,133","-0,075"
,"-0,037","-0,126","-0,087"
,"-0,046","-0,141","-0,079"
,"-0,082","-0,162","-0,076"
,"-0,094","-0,175","-0,087"
,"-0,066","-0,160","-0,092"
,"-0,043","-0,155","-0,113"
,"-0,052","-0,154","-0,109"
,"-0,137","-0,158","-0,111"
,"-0,127","-0,173","-0,094"
,"-0,127","-0,162","-0,116"
,"-0,119","-0,160","-0,122"
,"-0,106","-0,170","-0,125"
,"-0,158","-0,203","-0,125"
,"-0,130","-0,138","-0,123"
,"-0,155","-0,132","-0,137"
,"-0,127","-0,135","-0,146"
,"-0,159","-0,129","-0,160"
,"-0,190","-0,154","-0,146"
,"-0,193","-0,131","-0,157"
,"-0,157","-0,136","-0,164"
,"-0,149","-0,117","-0,164"
,"-0,137","-0,122","-0,170"
,"-0,135","-0,138","-0,188"
,"-0,139","-0,110","-0,198"
,"-0,154","-0,116","-0,193"
